,Package Name,Access,Summary,Updated
0,photochem,public,A chemical model of planetary atmospheres,2025-07-02
1,terraform-provider-grafana,public,The Terraform Grafana provider,2025-07-02
2,jupyter-docprovider,public,JupyterLab/Jupyter Notebook 7+ extension integrating collaborative shared models.,2025-07-02
3,boto3-stubs-essential,public,"Type annotations for boto3 1.39.2, generated with mypy-boto3-builder",2025-07-02
4,boto3-stubs,public,"Type annotations for boto3 1.39.2, generated with mypy-boto3-builder",2025-07-02
5,statmorph,public,Non-parametric morphological diagnostics of galaxy images,2025-07-02
6,node-graph,public,Create node-based workflow,2025-07-02
7,tiledbsoma-py,public,Python and R SOMA APIs using TileDB's cloud-native format. Ideal for single-cell data at any scale.,2025-07-02
8,libtiledbsoma,public,Python and R SOMA APIs using TileDB's cloud-native format. Ideal for single-cell data at any scale.,2025-07-02
9,sphinx-js,public,Support for using Sphinx on JSDoc-documented JS code,2025-07-02
10,fints,public,FinTS client library for Python,2025-07-02
11,wandb,public,A CLI and library for interacting with the Weights and Biases API.,2025-07-02
12,jupyter_server_ydoc,public,jupyter-server extension integrating collaborative shared models.,2025-07-02
13,lfortran,public,Modern interactive LLVM-based Fortran compiler,2025-07-02
14,conda-forge-repodata-patches,public,"generate tweaks to index metadata, hosted separately from anaconda.org index",2025-07-02
15,taxcalc,public,open-source microsimulation model for static analysis of USA federal income and payroll taxes.,2025-07-02
16,arize-phoenix-evals,public,LLM Evaluations,2025-07-02
17,grype,public,A vulnerability scanner for container images and filesystems,2025-07-02
18,resdk,public,Resolwe SDK for Python,2025-07-02
19,pillow,public,Pillow is the friendly PIL fork by Alex Clark and Contributors,2025-07-02
20,metamorpheus,public,"Proteomic search software with integrated calibration, PTM discovery, bottom-up, top-down and LFQ capabilities",2025-07-02
21,opencosmo,public,The OpenCosmo Python Toolkit,2025-07-02
22,acro,public,Tools for the Semi-Automatic Checking of Research Outputs,2025-07-02
23,pyinstrument,public,A call stack profiler for Python. Inspired by Apple's Instruments.app,2025-07-02
24,scrapy,public,A high-level Python Screen Scraping framework,2025-07-02
25,armadillo,public,Armadillo C++ linear algebra library,2025-07-02
26,jupyter-collaboration-ui,public,JupyterLab/Jupyter Notebook 7+ extension providing user interface integration for real time collaboration,2025-07-02
27,lbapcommon,public,Common utilities used by LHCb DPA WP2 related software,2025-07-02
28,anymap,public,A Python package for creating interactive maps with anywidget and JavaScript mapping libraries,2025-07-02
29,occt,public,this is the occ (opencascade) CAD-Kernel,2025-07-02
30,qpsolvers,public,Quadratic Programming solvers for Python with a unified API,2025-07-02
31,databricks-cli,public,A command line interface for Databricks,2025-07-02
32,libholoscan,public,NVIDIA Holoscan runtime library,2025-07-02
33,holoscan,public,NVIDIA Holoscan python bindings,2025-07-02
34,libholoscan-dev,public,"NVIDIA Holoscan is the AI sensor processing platform that combines hardware systems for low-latency sensor and network connectivity, optimized libraries for data processing and AI, and core microservices to run streaming, imaging, and other applications, from embedded to edge to cloud.",2025-07-02
35,bmad,public,"Bmad is an object oriented, open source, subroutine library for relativistic charged-particle dynamics simulations in accelerators and storage rings.",2025-07-02
36,r-justifyalpha,public,"Functions to justify alpha levels for statistical hypothesis tests by avoiding Lindley's paradox, or by minimizing or balancing error rates. For more information about the package please read the following: Maier & Lakens (2021) <doi:10.31234/osf.io/ts4r6>).",2025-07-02
37,melodies-monet,public,MELODIES MONET,2025-07-02
38,bionty,public,"Basic biological entities, coupled to public ontologies [`source <https://github.com/laminlabs/bionty/blob/main/bionty/models.py>`__].",2025-07-02
39,logfire,public,The best Python observability tool! 🪵🔥,2025-07-02
40,perspective,public,Streaming pivot visualization via WebAssembly,2025-07-02
41,arcticdb,public,"ArcticDB is a high performance, serverless DataFrame database built for the Python Data Science ecosystem.",2025-07-02
42,csp,public,"csp is a high performance reactive stream processing library, written in C++ and Python",2025-07-02
43,pytorch,public,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,2025-07-02
44,lamindb,public,A data framework for biology.,2025-07-02
45,pan3d,public,Utility package for processing and visualizing 3D datasets,2025-07-02
46,pytorch-gpu,public,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,2025-07-02
47,libtorch,public,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,2025-07-02
48,khiops-core,public,Khiops is an AutoML suite for supervised and unsupervised learning,2025-07-02
49,kni,public,Khiops is an AutoML suite for supervised and unsupervised learning,2025-07-02
50,daphne,public,Django ASGI (HTTP/WebSocket) server,2025-07-02
51,mypy_boto3_ec2,public,"Type annotations for boto3.EC2 1.39.1 service, generated by mypy-boto3-builder",2025-07-02
52,airflow-priority,public,Priority Tags for Airflow Dags,2025-07-02
53,schematics-cli,public,Executable for running a Schematic.,2025-07-02
54,python-fasthtml,public,The fastest way to create an HTML app,2025-07-02
55,airflow-pydantic,public,Pydantic models for Apache Airflow,2025-07-02
56,pti-gpu-unitrace,public,Unified Tracing and Profiling Tool,2025-07-02
57,intel-pti,public,Profiling Tools Interfaces for GPU,2025-07-02
58,transitions,public,"A lightweight, object-oriented finite state machine implementation in Python",2025-07-02
59,libnvjitlink-dev,public,CUDA nvJitLink library,2025-07-02
60,libnvjitlink,public,CUDA nvJitLink library,2025-07-02
61,libnvjitlink-static,public,CUDA nvJitLink library,2025-07-02
62,mlx,public,An array framework for Apple silicon,2025-07-02
63,direnv,public,unclutter your .profile,2025-07-02
64,lamin_cli,public,Lamin CLI.,2025-07-02
65,ipython,public,IPython: Productive Interactive Computing,2025-07-02
66,smart-open-with-ssh,public,Python library for efficient streaming of large files,2025-07-02
67,smart-open-with-gcs,public,Python library for efficient streaming of large files,2025-07-02
68,smart-open-with-webhdfs,public,Python library for efficient streaming of large files,2025-07-02
69,smart-open-with-s3,public,Python library for efficient streaming of large files,2025-07-02
70,smart_open,public,Python library for efficient streaming of large files,2025-07-02
71,smart-open-with-zst,public,Python library for efficient streaming of large files,2025-07-02
72,smart-open,public,Python library for efficient streaming of large files,2025-07-02
73,smart-open-with-http,public,Python library for efficient streaming of large files,2025-07-02
74,smart-open-with-all,public,Python library for efficient streaming of large files,2025-07-02
75,smart-open-with-azure,public,Python library for efficient streaming of large files,2025-07-02
76,reef3d,public,REEF3D : Open-Source Hydrodynamics,2025-07-02
77,ezgooey,public,Simplifies making GUI+CLI apps with Gooey,2025-07-02
78,yt-dlp,public,A youtube-dl fork with additional features and patches,2025-07-02
79,fastmcp,public,"The fast, Pythonic way to build MCP servers.",2025-07-02
